tile_id,min_lat,min_lon,max_lat,max_lon,lat,lon
tile_r0_c0,12.0,77.0,12.00898311174991,77.00920121734023,12.004491555874955,77.00460060867012
tile_r0_c1,12.0,77.00920121734023,12.00898311174991,77.01840243468047,12.004491555874955,77.01380182601035
tile_r0_c2,12.0,77.01840243468047,12.00898311174991,77.0276036520207,12.004491555874955,77.02300304335058
tile_r0_c3,12.0,77.0276036520207,12.00898311174991,77.03680486936094,12.004491555874955,77.03220426069082
tile_r0_c4,12.0,77.03680486936094,12.00898311174991,77.04600608670117,12.004491555874955,77.04140547803105
tile_r0_c5,12.0,77.04600608670117,12.00898311174991,77.0552073040414,12.004491555874955,77.05060669537129
tile_r0_c6,12.0,77.0552073040414,12.00898311174991,77.06440852138164,12.004491555874955,77.05980791271152
tile_r0_c7,12.0,77.06440852138164,12.00898311174991,77.07360973872187,12.004491555874955,77.06900913005175
tile_r0_c8,12.0,77.07360973872187,12.00898311174991,77.0828109560621,12.004491555874955,77.07821034739199
tile_r0_c9,12.0,77.0828109560621,12.00898311174991,77.09201217340234,12.004491555874955,77.08741156473222
